// overflow areas start at 449000, with 100 lines for each scenario starting at 
// 449000 + (scenarioNo - 1) * 100

//
// Scenario One
//

446201 "<BLUE>Themistocles: Pausanias is like a mad dog: he needs watching, or he'll maul friend as like as foe."
446202 "<BLUE>Aristides: You aren't the first to say as much. The Spartans do not know how to govern free men."
446203 "<BLUE>Themistocles: Look at that — the Persians would rather burn their own storehouses than risk us capturing them! Stop them, before there's nothing left!"
446204 "<BLUE>Themistocles: We retook this storehouse before the Persians could destroy it, but they will no doubt try to burn other places of value when we enter Byzantium."
446205 "<BLUE>Themistocles: The Persians torched this storehouse rather than let us get our hands on it. No doubt they will try to burn other places of value when we enter Byzantium."
446206 "<RED>Pausanias: Enough waiting, Spartans — we march on Byzantium now, with or without the others!"
446207 "<BLUE>Themistocles: By Zeus, when Pausanias goes barrelling into the city, the Persians are sure to burn anything of value in his wake! We have to get in there and save as much as we can!"
446208 "<RED>Pausanias: We're in, men! Sate yourselves with Persian blood!"
446209 "<BLUE>Themistocles: It would have been an ill thing indeed to lose the temple of Zeus."
446210 "<BLUE>Themistocles: We've reclaimed Poseidon's temple."
446211 "<BLUE>Themistocles: The shrine of Ajax is safe."
446212 "<BLUE>Themistocles: The temple of Apollo is saved."
446213 "<BLUE>Aristides: Bless us, Dionysos: your temple is saved."
446214 "<BLUE>Aristides: Aphrodite, your shrine is safe."
446215 "<BLUE>Aristides: The temple of Artemis is in our hands."
446216 "<BLUE>Themistocles: O Zeus, we could not save your temple."
446217 "<BLUE>Themistocles: Poseidon's temple is lost."
446218 "<BLUE>Themistocles: The shrine of Ajax burns!"
446219 "<BLUE>Themistocles: We couldn't save Apollo's temple."
446220 "<BLUE>Aristides: The temple of Dionysos is in ruins!"
446221 "<BLUE>Aristides: Forgive us, Aphrodite: we could not save your shrine."
446222 "<BLUE>Aristides: The temple of Artemis burns."
446223 "<BLUE>Aristides: The Persians are trying to burn a district! Stop them!"
446224 "<BLUE>Aristides: The Persians burn the city in our wake! At them!"
446225 "<BLUE>Themistocles: There'll be nothing left of this district if we don't stop these arsonists."
446226 "<BLUE>Themistocles: Save what you can!"
446227 "<BLUE>Aristides: They're burning the inner city!"
446228 "<BLUE>Aristides: Arson, by the northern docks!"
446229 "<BLUE>Aristides: Stop those Persians, before the city is stripped bare!"
446230 "<BLUE>Themistocles: They are determined to leave us as little as possible."
446231 "<BLUE>Themistocles: Their stripping of the city continues."
446232 "<BLUE>Themistocles: They're tearing down another district."
446233 "<RED>Pausanias: Burn all you want, you dogs: I am here not for trinkets, but for blood."
446234 "<BLUE>Aristides: The Persians are absconding with a statue of Helios! Stop them!"
446235 "<BLUE>Aristides: Get a move on, men! If the Persians get that statue on a ship, it will be lost to us forever!"
446236 "<BLUE>Aristides: They've escaped with the statue. Another trinket for the Great King's court."
446237 "<RED>Pausanias: Bring me the statue, Athenian. That's an order."
446238 "<PURPLE>Polycritus: Bring the statue to the allied camp, Themistocles — I'll see that Pausanias doesn't get his blood-soaked hands on it. Dark days indeed, when I'd rather trust an Athenian…"
446239 "<RED>Pausanias: Took you long enough. Assemble, Spartans, and make offerings to tireless Helios, that he might shine golden light on our deeds!"
446240 "<PURPLE>Polycritus: How delicately formed, how graceful this statue is… Quite unlike that ruffian Pausanias."
446241 "<RED>Pausanias: You ignored my order, Athenian. You are less use to me than the basest of slaves!"
446242 "<RED>Pausanias: Spartans, leave no survivors!"
446243 "<RED>Pausanias: Run these Persians through!"
446244 "<RED>Pausanias: I want to see blood on your spears. Any shirkers will be thrown from the city walls!"
446245 "<RED>Pausanias: By the Twin Gods, I demand blood!"
446246 "<RED>Pausanias: Artemis Orthia, give me the strength to bring black death upon my enemies, and I shall make offerings in ivory at your shrine."
446247 "<RED>Pausanias: At least the Persian king has an appetite for conquest, unlike you lily-livered laggards! Perhaps he would be a more fitting ally for Sparta."
446248 "<RED>Pausanias: These \"allies\" are no warriors. Men fit to be slaves."
446249 "<RED>Pausanias: Who are these wretches we've dragged along with us? Aeginetans, Corinthians, Sicyonians… Cowards all."
446250 "<RED>Pausanias: We'd move faster without these leeches on our glory."
446251 "<RED>Pausanias: Leonidas was a fool to die for men like you! We should have walled off the Peloponnese and left you all to the Persians."
446252 "<BLUE>Aristides: Blood-loving Ares favors you today, Themistocles. I am glad to fight beside you."
446253 "<BLUE>Themistocles: By Zeus, you fight well, Aristides. Imagine what we might have accomplished had we worked together from the start."
446254 "<PURPLE>Polycritus: May Aphaia watch over you as you march into the city. We shall use the ships to strike at the harbors."
446255 "<PURPLE>Polycritus: Greece did not resist Persian tyranny only to be treated like slaves by a Spartan."
446256 "<PURPLE>Polycritus: The Chians, the Samians, the Troezenians, they all agree: Pausanias is not in his right mind."
446257 "<PURPLE>Polycritus: This mad regent will be the ruin of us all. I cannot say how much longer the allies will consent to follow him."
446258 "<PURPLE>Polycritus: We hold the first harbor. Not that we'll get any credit from Pausanias."
446259 "<PURPLE>Polycritus: We've captured the central harbor. Whatever that pig Pausanias may say, we are not lacking in fortitude."
446260 "<PURPLE>Polycritus: Another harbor seized. Celebrate this victory, fellow Greeks, however much Pausanias might scorn your courage."
446261 "<BLUE>Themistocles: We need to get rid of this demented Spartan. Accuse of him of Medism, perhaps?"
446262 "<BLUE>Aristides: So little remains… This city is no longer worth fighting for."
446263 "<BLUE>Themistocles: We are close to the acropolis. Make ready for a tough fight — the Persian commander has already given us ample evidence of his ruthlessness."
446264 "<RED>Pausanias: The city is mine! See how these Persians cower before me — as all of you should."
446265 "<BLUE>Aristides: Enough, Pausanias: we shall not abide your unjust conduct a moment longer. I have spoken with the allies, and the only league they will support is one led by Athens."
446266 "13. Wrath of the Regent"
446267 "Byzantium, 478 BCE"
446268 "The Greeks turn their attention to the wealthy city of Byzantium — but with Pausanias behaving like a violent despot, and the Persians torching anything of value in the city, will there be anything left worth conquering?"
446269 "Byzantium"
446270 "Persian Garrison"
446271 "Merchants of Byzantium"
446272 "Temple of Zeus"
446273 "Temple of Poseidon"
446274 "Shrine of Ajax"
446275 "Temple of Dionysos"
446276 "Temple of Apollo"
446277 "Temple of Artemis"
446278 "Shrine of Aphrodite"
446279 "District 1"
446280 "District 2"
446281 "District 3"
446282 "District 4"
446283 "District 5"
446284 "District 6"
446285 "District 7"
446286 "District 8"
446287 "District 9"
446288 "District 10"
446289 "Greek Allied Camp"
446290 "Statue of Helios"
446291 "Spartan Camp"
446292 "Storehouse"
446293 "Acropolis"
446294 "- Stop the Persians from destroying the Market."
446295 "+ Do not let the Persians destroy <BuildingTarget> Markets/Ports.\n<LostBuildings> buildings lost."
446296 "+ Do not let the Persians destroy <BuildingTarget> Markets/Ports. Kill the units attacking the buildings to save them.\n<LostBuildings> Markets/Ports lost."
446297 "+ Capture the Acropolis of Byzantium before Pausanias."
446298 "+ Capture the Acropolis of Byzantium before Pausanias by defeating surrounding enemy units."
446299 "- Capture the Statue of Helios before it leaves the city."
446300 "- Choose who should receive the Statue of Helios:\nFlare over Pausanias' camp to give him the statue"
446301 "- Flare over the Greek Allies' camp to give Polycritus the statue."
446302 "- Save Temples (<Temple Saved>/7 Temples saved)."
446303 "- Cost of Trade Carts and Merchant Ships reduced by 50%. -"
446304 "- Ships gain extra armor. -"
446305 "- Lancer-line gains extra armor. -"
446306 "- Levy-line gains extra melee armor. -"
446307 "- Infantry now do bonus damage against cavalry. -"
446308 "- Regeneration unlocked for all units. -"
446309 "- Hoplite and Strategos HP increased. -"
446310 "- Archers gain extra range. -"
446311 "- Ship cost decreased. -"
446312 "- Infantry gain splash damage. -"
446313 "- Take it to Pausanias' Town Center."
446314 "- Take it to Polycritus' transport ship next to your base."
446315 "You saved a Port!"
446316 "You saved a Market!"
446317 "You saved a Temple!"
446318 "A Port was destroyed!"
446319 "A Market was destroyed!"
446320 "A Temple was destroyed!"
446321 "1. Pausanias has gone rather mad, and will no longer respond to your flares. In fact, you can expect his behaviour to be erratic and unhelpful!\n\n2. However, once the assault on Byzantium begins you can use flares to direct the allied fleet.\n\n3. The city is arranged into tiers separated by walls and gates. When you or your ally are close to entering a new tier, the Persians will begin to destroy any important assets there!"
446322 "+ Prepare to besiege Byzantium."
446325 "- Use flares to direct the Greek Navy."
446326 "Greek Navy"
446327 "Use flares to direct the Greek Navy."
446328 "Persian Saboteur"
446329 "Possession of the Statue of Helios inspires the Greek navy's ship builders, but Pausanias is angry!"
446330 "Possession of the Statue of Helios inspires the Spartans to attack with renewed ferocity!"
446331 "<RED>In his mad rage, Pausanias will attack you for %d"
446332 "<b>Persian Saboteur<b>\n<hp> <attack> <armor> <piercearmor> <range>"
446333 "<b>Persian Commander<b>\n<hp> <attack> <armor> <piercearmor> <range>"
446334 "Choose who should receive the Statue of Helios:"


//
//Scenario Fourteen
//

446400 "<BLUE>Aristides: Delos has served us well as a base for the league, these past seven years. It is only right that we honor this holy place."
446401 "<BLUE>Themistocles: Building a monument would also demonstrate our power — and with all the whining I hear from the allies these days, such a demonstration might be wise."
446402 "<BLUE>Aristides: I do wonder, Themistocles — are we leaders of an alliance, or masters of an empire? Some of the allies talk of refusing to pay their tribute — what would we do in such a situation?"
446403 "<BLUE>Themistocles: We would take it from them, Aristides."
446404 "<BLUE>Aristides: A fine sight. Perhaps this might be an opportunity to reassess the tributes we ask of our allies."
446405 "<RED>Naxian Polemarch: Open your eyes, fellow Greeks: this \"Delian League\" has nothing to do with fighting the Persians — the Athenians simply want our money! Burn down their frivolous monument, and throw off their tyranny!"
446406 "<BLUE>Themistocles: Faithless wretches! We must punish this treachery."
446407 "<BLUE>Aristides: Athens gives so much, yet asks so little."
446408 "<BLUE>Aristides: We do not ask for much, dear allies."
446409 "<BLUE>Aristides: We are not tyrants: we ask only for a little."
446410 "<BLUE>Aristides: All things in moderation: that is the way."
446411 "<BLUE>Aristides: Nothing in excess, as the Delphians say."
446412 "<BLUE>Aristides: We ask only what is reasonable, treasured allies."
446413 "<BLUE>Themistocles: Times are hard, and we demand all you can spare."
446414 "<BLUE>Themistocles: Complain all you like, so long as you pay."
446415 "<BLUE>Themistocles: We must all make sacrifices for the common good."
446416 "<BLUE>Themistocles: The rebels assault Delos!"
446417 "<BLUE>Themistocles: Defend the wonder! I will not have these insurrectionists make fools of us!"
446418 "<BLUE>Themistocles: Protect the wonder!"
446419 "<BLUE>Aristides: Violence on holy Delos! Put a stop to this!"
446420 "<BLUE>Aristides: They mean to destroy the wonder!"
446421 "<BLUE>Themistocles: This tribute will help us restore Athens to its former glory. Already, the walls torn down by the Medes rise higher than ever before."
446422 "<BLUE>Themistocles: What wealth flows to Athens now. The Piraeus resounds with the hollering of shipwrights — twenty triremes built every year."
446423 "<BLUE>Themistocles: With this tribute, we shall build walls from Athens down to the Piraeus, and ensure that our city will never be cut off from its port."
446424 "<BLUE>Themistocles: See the riches I gather for Athens! Go show Cimon, and Timocreon, and all the others who whine and complain in the assembly."
446425 "<BLUE>Themistocles: I could send Athens the trident of Poseidon himself, and Cimon would still find something to criticize me for."
446426 "<BLUE>Themistocles: Not even a decade since the Mede torched our city, yet thanks to our endeavors, Athens is more stunning than ever."
446427 "<BLUE>Aristides: Keos has almost nothing left to give — at this rate, a rebellion is imminent!"
446428 "<BLUE>Aristides: Kythnos is almost out of resources — in their desperation, I fear they could turn to rebellion…"
446429 "<BLUE>Aristides: The Parian treasury is almost empty — soon they will have no choice but to revolt!"
446430 "<BLUE>Aristides: Syros is struggling to keep up with our demands — their minds will soon turn to rebellion!"
446431 "<BLUE>Themistocles: Keos has rebelled! We cannot tolerate such disobedience — especially so close to Attica!"
446432 "<BLUE>Themistocles: Kythnos turns against us! Would that the Dryopians had never colonised that blasted rock!"
446433 "<BLUE>Themistocles: The Parians rebel! How are we to rebuild Athens without their marble?"
446434 "<BLUE>Themistocles: Syros rebels now? What treachery is this?"
446435 "<BLUE>Aristides: The rebellion on Andros has been extinguished. I shall go to their temple of Dionysos, and offer libations."
446436 "<BLUE>Aristides: I see none of the water nymphs said to dwell on Keos: only bitter destruction."
446437 "<BLUE>Aristides: We did not wish to devastate your homeland, people of Kythnos — we remember well how you fought at Salamis."
446438 "<BLUE>Themistocles: Decades ago, Miltiades failed to take Paros. Athens is led by stronger men now."
446439 "<BLUE>Aristides: I always wanted to visit Syros: Homer speaks of it as a land without sickness, without famine. Woe, that we should come here as conquerors."
446440 "<BLUE>Aristides: I hear rumblings at Athens, Themistocles — men who envy your achievements… They would do well to recognize, as I have, that Athens is fortunate to have you."
446441 "<BLUE>Themistocles: Snakes. Liars. Petty, scheming, miserable men who can’t bear my success. If they drive me from my city, they will soon regret it."
446442 "<RED>Naxian Polemarch: Tyrants! Despots! Slave-drivers! Suck on the poisoned fruits of your empire while you can, for the gods will soon punish your hubris."
446443 "<BLUE>Aristides: He speaks true, Themistocles: the gods cannot abide excess. Oimoi… What have we done?"
446444 "<BLUE>Themistocles: Carystos is ours. The Carystians could not resist Datis — how could they hope to resist us?"
446445 "<RED>Naxian Polemarch: See, Athenians, see how the gods punish your hubris! Your monument falls, and so will your tyranny!"
446446 "<BLUE>Aristides: This is no alliance — it is an empire, and we are its cruel overlords. O Zeus… I’d scuttle every ship, melt down every drachma to regain but a scrap of our honor."
446447 "14. The Fruits of Empire"
446448 "Delos, 471 BCE"
446449 "The Athenians now lead a powerful alliance of Greek cities: the Delian League. But when the discontented allies refuse to pay their tribute, the Athenians confront the harsh reality of ruling others."
446450 "Delian Treasury"
446451 "+ Build a Wonder in the flagged area on Delos."
446452 "- Set tribute demands at the Wonder."
446453 "+ The Wonder must survive."
446454 "+ Destroy the Forts and Town Center on Naxos."
446455 "+ Destroy the Forts and Town Center in Carystos."
446456 "- Reconquer rebellious allies by destroying their Forts."
446457 "Demand Low Tribute"
446458 "Select <b>Low Tribute<b>\nAsk your allies for low levels of gold when they send tribute. The allies will be less likely to rebel."
446459 "Demand Medium Tribute"
446460 "Select <b>Medium Tribute<b>\nAsk your allies for moderate levels of gold when they send tribute. The allies will have a moderate chance of rebellion."
446461 "Demand High Tribute"
446462 "Select <b>High Tribute<b>\nAsk your allies for high levels of gold when they send tribute. Constantly asking for high tributes will lead to a high chance of rebellion."
446463 "- Low tribute demands set. -"
446464 "- Medium tribute demands set. -"
446465 "- High tribute demands set. -"
446466 "- Naxos has revolted! -"
446467 "- Keos has revolted! -"
446468 "- Carystos has revolted! -"
446469 "- Andros has revolted! -"
446470 "- Kythnos has revolted! -"
446471 "- Paros has revolted! -"
446472 "- Syros has revolted! -"
446473 "- Defend the Wonder! -"
446474 "+ Build a Wonder in the flagged area on Delos before the timer expires."
446475 "+ Set your tribute demands at the Wonder before the timer expires."
446476 "<BLUE>Time left to build Wonder: %d"
446477 "<BLUE>Time left to set tribute demands: %d"
446478 "Tribute level: low"
446479 "Tribute level: medium"
446480 "Tribute level: high"
446481 "<BLUE>Tribute demands can be changed in %d"
446482 "Chance of rebellion: <Betray Chance>%"
446483 "Naxos, Carystos, and Andros have rebelled!" 
446484 "1. At the beginning of this scenario, all other players are your allies.\n\n2. Gold is very limited on this map. You will have to rely on tributes from your allies. You can set the level of tribute at the Wonder you must build on Delos. Higher tributes will increase the risk of allies rebelling against you."
446485 "+ Defeat Carystos (destroy their Forts)."
446486 "+ Defeat Naxos (destroy their Forts)."
// this is the overflow area from 15 - be careful to avoid overlaps if you extend this
446514 "<BLUE> Build a Wonder and set tribute demands within %d"
446515 "+ Build a Wonder and set tribute demands at the Wonder before the timer expires."
446516 "You can set tribute demands at the Wonder."
446517 "You must set tribute demands within the next 2 minutes. Do this by selecting the wonder and choosing an option. If you do not set a tribute in the next 2 minutes then tribute demands will automatically be set to Medium."
// this (above) was overflow from 15 be careful of overlaps!

//
//Scenario Fifteen
//

446600 "<BLUE>Pericles: Everybody inside the walls! Back to the city!"
446601 "<BLUE>Aspasia: The people are safe for now, but they will surely become discontent soon, cooped up here while their farms are burned. You must do all you can, my love, to stay in power — Athens needs you."
446602 "<AQUA>Cleon: You shut our people in as though they are frightened lambs! They won't abide your cowardice much longer — and when I take your place, Pericles, Athens will carve a bloody trail to Sparta."
446603 "<BLUE>Pericles: The Spartans return to harry our fields! If you value your lives, get inside the walls!"
446604 "<BLUE>Pericles: The Spartans come for our fields again! Gather what goods and livestock you can, and retreat inside the walls!"
446605 "<BLUE>Pericles: The Spartans return to ravage our land! Get back to the city, or I cannot guarantee your protection."
446606 "<AQUA>Cleon: Pericles — a guest-friend of the Spartan king, don't forget — allows the Spartans to ravage your fields, year after year; and yet his own estate remains untouched."
446607 "<BLUE>Pericles: I have no wish to lose the income from my estate — but if it will please the people, I shall turn it over to them."
446608 "<BLUE>Pericles: What's mine is yours, fellow citizens."
446609 "<BLUE>Aspasia: Behold, Athenians, how Pericles glorifies the acropolis! As Athena once blessed this summit with the gift of the olive tree, Pericles gives you monuments of marble."
446610 "<BLUE>Aspasia: The treasury is running rather low… Loath as I am to suggest it, we could unload some gold from the statue of Athena."
446611 "<BLUE>Aspasia: What desperate straits we're in, having to strip the statue of Athena…"
446612 "<AQUA>Cleon: People of Athens, Pericles will not confront Sparta, yet he provokes Athena herself! Throw off this thief!"
446613 "<BLUE>Pericles: The people cry out for vengeance against these Spartan marauders. We shall prepare a fleet, and send it to ravage the Peloponnesian coast."
446614 "<BLUE>Pericles: Zephyros, Notos, gracious winds, accept this offering of frankincense. Bear these brave sailors onward."
446615 "<BLUE>Pericles: Black-haired Poseidon, relish the sweet smoke rising from the thighs of these black bulls. We honor you, that you might smile on our endeavours."
446616 "<BLUE>Pericles: Poseidon, master of dolphins and lord of the waves, see our brave sailors return safely."
446617 "<BLUE>Aspasia: Our sailors return from the Peloponnese, laden with loot!"
446618 "<BLUE>Aspasia: Poseidon be praised: our sailors return, weighed down with booty!"
446619 "<BLUE>Aspasia: Our sailors return from the Peloponnese — bloodied, to be sure, but successful."
446620 "<BLUE>Aspasia: Make offerings to Poseidon — he has brought our sailors home… Most of them, at least."
446621 "<BLUE>Aspasia: Our sailors return from the Peloponnese! But… Oh, how few remain."
446622 "<BLUE>Aspasia: The ships return from the Peloponnese — full of loot but lacking in men."
446623 "<BLUE>Pericles: These towns are ripe for raiding. Even Cleon would not think to strike so far beyond Attica."
446624 "<BLUE>Pericles: A bitter sight indeed: sacred Eleusis, swarming with Spartans."
446625 "<BLUE>Aspasia: See what victories Pericles accomplishes in your name, people of Athens!"
446626 "<BLUE>Aspasia: Observe the spoils that Pericles wins for you, Athenians, and remember his name as you give thanks to the gods."
446627 "<BLUE>Pericles: Make what offerings you can to Demeter Eleusinia, before the Spartans return!"
446628 "<BLUE>Aspasia: Plataea is a bulwark not only against Sparta, but Thebes too. We ought to aid them in the defense of their city."
446629 "<BLUE>Pericles: Go forth to Plataea — may we aid them in their hour of need, as they aided us at Marathon."
446630 "<AQUA>Cleon: Not only does Pericles fail Athens — now he fails our bold allies the Plataeans, whom the Spartans will surely massacre!"
446631 "<BLUE>Aspasia: Without our support, Oenoe will surely fall. We must reinforce the garrison."
446632 "<BLUE>Pericles: Let the people of Oenoe attest: Athens is a loyal friend to its allies. "
446633 "<AQUA>Cleon: Nobody trusts a watchman who falls asleep at his post. Now why should we trust Pericles, who sees our allies in peril and does nothing to rescue them?"
446634 "<BLUE>Pericles: There are storehouses beyond the city walls that the Spartans have not yet found. We should protect them as long as we can."
446635 "<AQUA>Cleon: Look beyond the walls, men: Pericles invites the Spartans to eat your food, relax in your farmhouses, and spit in your hearths!"
446636 "<AQUA>Cleon: Pericles lets the Spartans do as they wish with Attica — next he'll be inviting King Archidamus along for meals at the Prytaneum!"
446637 "<AQUA>Cleon: A general who does not fight, a leader who does not lead, a strategist who does not think. Pathetic."
446638 "<BLUE>Aspasia: Word is that the Spartans are preparing to attack Salamis — we must send aid!"
446639 "<BLUE>Pericles: The Spartans prepare another attack on Salamis. Anyone who's been spoiling for a fight, this is your chance."
446640 "<BLUE>Aspasia: The Spartans are making another move against Salamis!"
446641 "<BLUE>Pericles: Hold, defenders of Salamis! Recall the deeds of Themistocles, and hold!"
446642 "<BLUE>Aspasia: The island of Ajax cannot fall!"
446643 "<BLUE>Pericles: Defend Salamis! I shall not allow the site of our greatest victory to fall into enemy hands!"
446644 "<BLUE>Aspasia: Salamis is saved. See, Athenians: Pericles is a leader worthy to follow in the footsteps of Themistocles. "
446645 "<BLUE>Pericles: No foe of Athens shall ever set foot on Salamis and live!"
446646 "<BLUE>Pericles: Salamis is safe! You fought like mighty Ajax himself, brave warriors."
446647 "<AQUA>Cleon: How far we have fallen under this charlatan Pericles! At Salamis, Athens once turned back the unending myriads of Persians — now we cannot resist even a handful of Spartans!"
446648 "<BLUE>Pericles: Aegina may have stood with us against the Persians, but it didn't take them long to return to their piratical ways. A reckoning is overdue: gather soldiers and a naval escort for the invasion."
446649 "<BLUE>Aspasia: Load up the transports, and take heart: not two days ago, an owl was seen carrying a turtle back to its nest — a certain portent of our victory over Aegina."
446650 "<BLUE>Aspasia: Board the transports with confidence, for the portents are certain: a storm cloud was seen to gather at the Piraeus, but not until it reached hateful Aegina did it discharge its thunder!"
446651 "<BLUE>Aspasia: Get the soldiers aboard the transports, and tell them this: last night, a seer observed an owl fly in the direction of Aegina, swoop upon the water, and emerge with a fish of monstrous proportions."
446652 "<BLUE>Aspasia: Make sure to guard the transports — the Corinthian navy is on the prowl."
446653 "<BLUE>Pericles: Aegina draws near. Destroy its forts, and the island will be ours."
446654 "<AQUA>Cleon: Someone bring me an abacus, because I'm struggling to tally all of Pericles' failures. "
446655 "<AQUA>Cleon: Someone bring me an abacus, because I'm struggling to tally all of Pericles' failures. Even puny Aegina laughs at him!"
446656 "<AQUA>Cleon: Aeginetans murdering our soldiers, Spartans ravaging our fields, Corinthians sinking our ships… Am I missing anything?"
446657 "<AQUA>Cleon: Pericles thinks of himself as a new Themistocles — but I don't seem to recall Themistocles failing to take Aegina."
446658 "<BLUE>Aspasia: Now, secure the island."
446659 "<BLUE>Pericles: Aegina is ours! Citizens of Athens, I give this place to you: we shall expel the Aeginetans, and you shall fill their colonnaded houses."
446660 "<BLUE>Pericles: Spartan camps on our land. We should torch these, and sate the people's anger."
446661 "<BLUE>Pericles: Leave our land, you dog-faced wretches."
446662 "<BLUE>Pericles: You came for Attica, but I shall send you to Hades."
446663 "<BLUE>Pericles: For this victory, Athena, accept our thanks, and the red cloaks we shall hang in your temple."
446664 "<BLUE>Pericles: Father Zeus, we give thanks for this victory. The pick of the spoils shall be yours."
446665 "<BLUE>Aspasia: See how the people celebrate! At last, a victory on Attic soil."
446666 "<BLUE>Aspasia: The time to celebrate the Panathenaic festival is upon us — and what better way to unify the people?"
446667 "<BLUE>Aspasia: This may not be the usual time for the Panathenaic festival, but the people need just such a festival of unity."
446668 "<BLUE>Aspasia: From the keremaikos to the acropolis, the streets resound with joyous hymns!"
446669 "<BLUE>Pericles: Once more, we are called to glorify Athena: prepare the Panathenaic procession!"
446670 "<BLUE>Aspasia: Dance, sing, rejoice, good people of Athens! Today, races and wrestling; tonight, poetry and music."
446671 "<BLUE>Aspasia: Bring the people together in celebration, Pericles: it is time for the Panathenaia."
446672 "<BLUE>Aspasia: Take the ceremonial kopis, and divide the warm meat among the joyful people."
446673 "<BLUE>Pericles: Weep for your dead, oh yes, but celebrate too: for they died in service to Athens. Our monuments, our riches, our deeds of old, our games and sacrifices, our constitution: in all these things, we are the envy of the world."
446674 "<BLUE>Aspasia: In such uncertain times, an oracle may reassure our frightened people."
446675 "<GREY>Priestess: Far-seeing Apollo speaks clear: the Spartans will never take Athens, so long as the son of Xanthippus lives."
446676 "<BLUE>Aspasia: Send offerings to the oracle, I urge you."
446677 "<GREY>Priestess: The God sees all. Pericles, you are not fated to die by a Spartan spear; nay, you shall never see your city fall to the foe."
446678 "<BLUE>Aspasia: The people wish to know what is fated for Athens. Seek out the oracle."
446679 "<GREY>Priestess: The God speaks: though this war may rage for many years, no man mothered by a Spartan shall take Athens."
446680 "<BLUE>Pericles: Not content to urge the Spartans to war with us, now the Corinthians swarm our shipping lanes. Smash these interlopers!"
446681 "<BLUE>Pericles: The Corinthians will try to snatch the tribute shipments sent by our allies. Protect the convoys!"
446682 "<BLUE>Pericles: Tribute from the empire: see that it arrives safely."
446683 "<BLUE>Pericles: Our allies send tribute. Escort the ships to the Piraeus."
446684 "<BLUE>Pericles: Don't let the Corinthians steal our tribute."
446685 "<AQUA>Cleon: Our enemies steal the tribute that is rightfully ours — all on Pericles' watch!"
446686 "<AQUA>Cleon: O poor citizens, not only are you deprived of your farms and fields, but the fruits of your empire too!"
446687 "<AQUA>Cleon: Remind me of your strategy, Pericles — cede the fields to the Spartans, and the sea to the Corinthians?"
446688 "<AQUA>Cleon: Pericles can protect neither the fields of Athens nor the ships of our allies!"
446689 "<BLUE>Aspasia: Cleon uses the courts against his enemies — let's do the same to him, and tie him up in legal proceedings."
446690 "<AQUA>Cleon: You, prosecute me? You'll regret this, Pericles, you and that wicked-tongued concubine!"
446691 "<AQUA>Cleon: A pox on every one of you fools! How could you re-elect this man?"
446692 "<BLUE>Pericles: Thank you, citizens: I will be honored to serve you as strategos once again."
446693 "<BLUE>Aspasia: The election will be held soon, but the people are dissatisfied with your rule. We must do all we can to put things right!"
446694 "<BLUE>Aspasia: The election will be held soon. So long as you maintain your current popularity, all will be well."
446695 "<BLUE>Aspasia: The election fast approaches — you must recover the favor of the people!"
446696 "<BLUE>Aspasia: The election fast approaches. Stay as popular as you are until then, and you'll be re-elected for sure."
446697 "<BLUE>Aspasia: The people turn against you, Pericles, just as the election looms! Put this right!"
446698 "<BLUE>Aspasia: Keep up your good work, my love: you are on course to be re-elected again."
446699 "<BLUE>Aspasia: The people grow dangerously restless. If they are not appeased, they might turn to rioting."
446700 "<BLUE>Aspasia: The people riot! Quick, this must be quelled — either through gold or through force."
446701 "<BLUE>Aspasia: How fickle the demos is — your gifts have appeased them."
446702 "<BLUE>Pericles: The rioters are dead. A dark day for Athens."
446703 "<BLUE>Aspasia: Unrest has spilled into the streets! We cannot allow this to continue."
446704 "<BLUE>Pericles: In politics, any situation can be solved through gold."
446705 "<BLUE>Pericles: Order! We shall have order, even if it means bodies in the streets."
446706 "<BLUE>Aspasia: Oimoi… The people riot!"
446707 "<BLUE>Pericles: Go home, you unruly dogs — and take this gold for your troubles."
446708 "<BLUE>Pericles: This is a time of war! All civil disobedience will be punished."
446709 "<BLUE>Aspasia: The people approve."
446710 "<BLUE>Aspasia: I hear terrible things about an affliction taking hold in the Piraeus — oozing pustules, bloody tongues, fetid breath…"
446711 "<BLUE>Aspasia: Oimoi, what evils Apollo visits upon the city — plague, rancid plague! Men crazed with thirst throw themselves into  wells; women cough and wheeze and spew foul bile."
446712 "<BLUE>Pericles: We must do all we can to save our people from this malady."
446713 "<BLUE>Pericles: We must get rid of the plague victims' bodies. Fetch kindling."
446714 "<BLUE>Pericles: We have done all we can… But the ravages of Apollo are not easily quelled."
446715 "<AQUA>Cleon: Pericles, a man with the head of a sea-onion, and the mind of a donkey!"
446716 "<AQUA>Cleon: Ask yourselves this, fellow citizens: is it Pericles who rules Athens, or his scheming concubine?"
446717 "<AQUA>Cleon: Pericles is a weakling: he gives our fields to the Spartans, and our democracy to Aspasia!"
446718 "<AQUA>Cleon: Aspasia cavorts with women of ill repute, educates sophists and revolutionaries, and advocates for surrender!"
446719 "<AQUA>Cleon: You see, citizens, I was right all along: Pericles is not fit to lead you!"
446720 "<BLUE>Pericles: Citizens, I am honored that you would vote for me again… But my body is wracked with pains. Oimoi talas…"
446721 "<BLUE>Aspasia: Someone, fetch a physician! Don't go, my love."
446722 "15. Within the Long Walls"
446723 "Attica, 431 BCE"
446724 "The Peloponnesian War erupts! The Athenian leader Pericles shelters his people behind the city's long walls — but how long will they tolerate this defensive strategy?"
446725 "Pericles"
446726 "Megara"
