IDS_SCENARIO_GAISERIC "Gaiseric (406)"
397346 "The Norse ventured onto the Great Whale Road, discovering lands beyond their imagination... lands of ice and fire, of frozen glaciers, and of great forests swarming with caribou."
397347 "The stories of these lands would be told for centuries in the sagas, long after the last Norseman leave."
397348 "In the ports and taverns of Europe, the adventurers of a later age would listen... and would return."
397349 "You have begun free play. Delete your Dock in the Faroes (your starting position) to declare victory."
397350 "A great glacier, an impenetrable sea of ice, sits beneath the mountains, and seemingly stretches northwards to eternity, to the lands of the giants beyond."
397351 "Some of the settlers worship the White Christ. Will this new land be firm ground for this religion or will the ways of Odin and Thor remain? "
397352 "Building a Monastery converts the settlers to Christianity allowing access to Monks. Christians no longer receive gold from killing enemies and destroying buildings, however."
397353 "It seems the White Christ has triumphed here as well, at the 'edge of Valhalla'. The settlers are less interested in raiding, but they will still defend their lands."
397354 "A new technology, Forced Levy, is now researchable at the Monastery."
397355 "The settlers are not all humble farmers. Some are veterans of the wars of Harald Finehair and only need a little coaxing to return to their ways of raiding and pillaging!    "
397356 "Research Chieftains at the Barracks to unlock Berserks."
397357 "With every enemy killed in battle or building razed, the Norse receive gold in spoils, provided they have not built a Monastery."
397358 "The impassioned howls of the Berserks fill the cold northern air as they thunder their shields. These veterans of the wars of Harald Finehair lust for pillage and spilt blood!"
397359 "Berserks can now be trained at the Barracks."
397360 "The air gets colder and the ground tougher the further north the settlers venture, but surely this is the way towards a western land."
397361 "As the settlement in Vinland grows, the Norse learn techniques to improve their ships for the ocean crossings."
397362 "Careening can now be researched at the Docks. This technology allows Transport Ships to cross the ocean safely."
397363 "The Norse settlers learn to clean, caulk, and repair their ships to prevent the sea of worms sinking their vessels. Ships can now cross the ocean safely."
397364 "A strange totem surrounded by human remains is the only evidence of prior settlement on this land. These people must have died centuries ago."
397365 "A mighty, red-haired warrior named Erik Thorvaldsson, nicknamed 'the Red,' has heard of these lands across the sea. Fleeing accusations of murder, he cannot stay long in the old world."
397366 "A new hero, Erik the Red, has arrived in the Faroe Islands in the east."
397367 "With the Skraeling kings dead, the new lands are ripe for further settlement. A warrior named Thorfinn Karlsefni vows to go to these lands and make a new life there."
397368 "A new hero, Thorfinn Karlsefni, has arrived in the Faroe Islands in the east."
397369 "Erik the Red -- a man who lived by the sword and axe -- dies before his time, his story not yet fully told."
397370 "The skalds will sing of Ingolfr Arnarson who sailed across the sea, and met his end on the edges of the world of men."
397371 "Sagas will be sung of Thorfinn Karlsefni who ventured across the Great Whale Road to a land on the edges of Midgard."
397372 "The new land is much like the old... the strong -- and only the strong -- rule here. The blood of the dead Skraelings will water the soil for future Norse settlers."
397373 "Flóki grows impatient. He knows he has collected enough wood to repair the ship on its journey and to build a small settlement. The gods will surely provide the rest."
397374 "Beothuk Warrior"
397375 "- Explore Greenland to find evidence of human settlement."
397376 "- Build a settlement in Vinland of at least <Variable 1>/3 buildings."
397377 "- Research Careening."
397378 "- Kill <Variable 3>/2 Skraeling kings."
397379 "Cree"
397380 "- Build a Monastery. You will no longer receive gold from enemies or enemy buildings."
397381 "- Build a Monastery."
397382 "- Research Chieftains at the Barracks to unlock Berserks."
397383 "- Research Chieftains."

// Karlsefni (1000)

398991 "The Norseman stood on a rocky shore of the Faroes. He squinted to the northwest, trying to coax a hidden and distant land of mountains from the sliver of space between the foggy sky and the white-foamed ocean."
398992 "Somewhere -- out there -- was an island of ice and fire. Men like him had sailed there before. By the chance of an errant storm and the will of the gods, a Norseman named Naddodr and another named Gardar had both reached the land separately and returned to tell tales of it."
398993 "Others had no doubt ventured there, but their stories had been silenced by the drowning sea."
398994 "This Norseman would be different. His knarr would take him on the Great Whale Road to this land, which he envisioned as the outlying fields of Asgard."
398995 "This would be a land of plenty, where he could be his own man and work his own land, a challenge in the increasingly crowded Faroes, to say nothing of Norway, where King Harald Finehair ruled with an iron fist."
398996 "The Norseman pushed his knarr into the sea, beginning his journey. At the very edge of his own world, where it stretched to touch another, he would touch Valhalla's Edge."
399001 "The sagas of Iceland, Greenland, and Vinland would not be forgotten."
399002 "The stories of these enterprising sailors, settlers, and warriors would be told in the taverns and halls of Europe for centuries. Long after the gods Thor and Odin were silenced by the piety of Christ, and long after the humble settlements in Vinland were overrun by nature, the sagas would inspire the imaginations of men and women of a later age."
399003 "Nearly five centuries after the Norse reached the shores of a New World, other men of Europe would re-trace their steps. In 1497, Giovanni Caboto, called John Cabot by his English employers, reached the same lands that they had discovered."

//
// Komnenos (1081)
//

397401 "Romaioi"
397402 "Seljuk Turks"
397403 "Fatimids"
397404 "Normans"
397405 "Pechenegs"
397406 "Peasants"
397407 "Enemies of Rome"
397408 "1. As emperor, you receive taxes in gold every spring. Trade this gold for resources at the Market.\n\n2. Conquer cities from your enemies to increase your tax revenue. Kill all the enemies occupying a city to capture it.\n\n3. Workers for building defenses and repairing ships can be trained at the Market. These Villagers cannot gather resources, however.\n\n4. The Byzantine tech tree has been modified. Imperial Legionaries are trainable at the Barracks and Varangians can be recruited at the Monument. You do not have access to Camels or Knights.\n\n5. Three prominent men will offer objectives: the Eunuch, the Strategos, and the Patriarch. Each represents their own interests (the state, the military, and the church), but they will help you strengthen the empire.\n\n6. Monitor your legitimacy (on a 0 – 100 scale). If legitimacy falls below 50, rebellions will occur.\n\n7. You lose legitimacy by losing men or buildings in battle and being wounded. Legitimacy can be restored by completing the Eunuch's objectives or giving to the masses at the Amphitheater by holding a chariot race. Note that the cost of races will increase with each use.\n\n8. There are four chariot teams in Constantinople: White, Green, Red, and Blue. If you favor the team that wins the race, you receive an additional boost to legitimacy.\n\n9. Complete the Strategos' objectives to provide temporary boosts to your Legionaries and Cataphracts. Complete the Patriarch's objectives to receive cohorts of Western crusaders."
397409 "Your scouts report:\n\n- Alexios Komnenos begins as a strategos (general) serving the Emperor Nikephoros at Constantinople. Much of the empire has been conquered by rival peoples or taken by various rebel groups.\n\n- Just east of Constantinople is Anatolia, controlled by the Seljuk Turks (Green). They are fearsome horsemen who fight as Steppe Lancers, Keshiks, and Cavalry Archers. Through their conquest of Arab and Persian lands, the Seljuks have learned the value of heavier armaments and are well-equipped. Rather than fight directly, the Turks prefer to lure the Byzantines into the open steppe.\n\n- To the west, Italy is controlled by the Normans (Cyan). While their armies include footmen, their knights are their most powerful asset. Not even the Byzantine Cataphracts are able to resist the charge of the Norman cavalry.\n\n- The Fatimids (Yellow) rule the city of Tripoli in the southeast, an important waypost on the pilgrim's road to Jerusalem. Their caliphate is plagued by civil war so they cannot expand aggressively. Their city is well-defended with infantry and Mamelukes, however.\n\n- To the northwest, the River Danube marks the Roman frontier. Beyond the river are Pecheneg steppe nomads (Orange) who fight as Tarkans and Kipchaks. Though the river barricades keep the Pechenegs at bay, a mass migration of this people will quickly threaten Byzantine lands.\n\n- Various rebels (Red) control the cities and islands of Greece and the coastal cities of Anatolia and Italy. Defeating these rebels will restore these cities to imperial control.\n\n- If the imperial legitimacy is allowed to decline, pretenders (Blue) will claim the throne. These claimants will command Byzantine-style armies of Legionaries, Cataphracts, and siege."
397410 "Alexios Komnenos"
397411 "Empress Maria"
397412 "Varangian"
397413 "Tzachas"
397414 "Robert Guiscard"
397415 "Emperor Nikephoros"
397416 "Hagia Sophia"
397417 "<BLUE>City Guard: Alexios, the emperor summons you. He is not pleased with your refusal to put down the usurper, Melissenos."
397418 "<BLUE>Monk: These Kelts are a stinky and ungrateful lot! I remember when only true Romans walked these streets. Now, all I see are foreigners!"
397419 "<BLUE>Emperor Nikephoros: Alexios, I know you refused my order to kill your brother-in-law. But I have more important matters to deal with and I respect your loyalty to blood."
397420 "<BLUE>Emperor Nikephoros: There are rebels and usurpers challenging my rule. I cannot trust my own generals. I am giving you the command to recruit an army and put down these rebels."
397421 "<BLUE>Emperor Nikephoros: I have placed the soldiers' pay into the hands of one of my most trusted eunuchs. You will meet him at the camp outside the walls."
397422 "<BLUE>Empress Maria: Alexios! It has been too long. When will I see you again?"
397423 "<BLUE>Empress Maria: Oh, my husband keeps you away from me! Listen, we can be rid of him. Go to the army camp and meet the eunuch there. He will tell you of our plans."
397424 "<BLUE>Eunuch: Alexios, I presume? The empress has a strong but choosey appetite. If she desires you then you, too, must have some worth in you."
397425 "<BLUE>Eunuch: Listen, I used the emperor's gold to bribe our political allies. But we still need rough and ready men. There are rebels nearby but they wouldn't listen to me. You could convince them to join us."
397426 "<BLUE>Eunuch: But don't let these brutes tear down the walls! We are liberators, not besiegers! Find a way to get them into the city. Harm no one or nothing besides the garrison."
397427 "<PURPLE>Eunuch: Me? No, don't let this armor fool you! I am not a fighter. I am much better working my magic at the court."
397428 "+ Report to the Emperor."
397429 "+ Report to the Army Camp."
397430 "+ Kill the Emperor's Varangian Guardsmen."
397431 "+ Recruit soldiers in the countryside."
397432 "+ Do not destroy the city's gates."
397433 "+ Alexios must survive."
397434 "<PURPLE>Eunuch: I told you I am not a fighter! I will retire to the court, where I will be more useful."
397435 "<PURPLE>Rebel Leader: You are John Komnenos' boy! I fought alongside your father to help your uncle take the throne. It sickens me to see what sort of man now sits there."
397436 "<PURPLE>Rebel Leader: I will help you, Alexios Komnenos, because I trust your family name. But do not embroil us in too many losing wars. We have lost too many sons to the Turks and Normans."
397437 "<PURPLE>Eunuch: I am no strategos, but I think you have enough men to take on the emperor's men. Now figure out a way to get into the city. Remember, no destruction!"
397438 "<PURPLE>Eunuch: I bribed the guards at the inner gates. They will now open to us."
397439 "%d minutes before the plot is discovered and fails."
397440 "<PURPLE>Eunuch: We are running out of time. The longer we dally, the more likely the emperor will be onto us."
397441 "<PURPLE>Eunuch: Curses! The emperor knows of our plot! The empress is under guard and your family is imprisoned!"
397442 "<BLUE>City Guard: Rebels in the city! Sound the alarm!"
397443 "<BLUE>Emperor Nikephoros: Guards! Stop them!"
397444 "<PURPLE>Empress Maria: Nikephoros! Your time has ended. Step down and Alexios will be emperor!"
397445 "<BLUE>Emperor Nikephoros: Undone by my own wife and my most trusted friends. Let me leave in peace and you will not hear from me again."
397446 "<PURPLE>Eunuch: I told you not to destroy the gates, you fool! Now the people will see us as invaders!"
397448 "<PURPLE>Eunuch: May your reign be long, young emperor, but let us get down to business. Six men have sat on your throne in the last 25 years. Five were deposed. Let us avoid you having the same fate, shall we?"
397449 "<PURPLE>Eunuch: I have prepared two treatises (“Hints” and “Scouts”) for you to read. I strongly recommend you read them."
397450 "<PURPLE>Eunuch: Once you are finished with that, it is time to build an army and restore the empire."
397451 "Legitimacy: <Variable 1>/100"
397452 "+ Defeat the Seljuk Turks."
397453 "+ Defeat the Normans."
397454 "+ Maintain 90+ Legitimacy."
397455 "<PURPLE>Strategos: Hardy Thracian farm boys and Anatolian shepherd sons make good Roman soldiers. They are not quite Caesar's legions, but they will fight in rank to protect your archers."
397456 "<PURPLE>Eunuch: The Varangians are mercenaries of the north. They come from a martial culture, so do not require training. Only a little gold will bring them into your service."
397457 "This year's taxes have been collected."
397458 "Completing the Eunuch's task improves your legitimacy."
397459 "Completing the Strategos' objective inspires your armies. Your Legionaries and Cataphracts fight harder for a short time."
397460 "Completing the Patriach's objective demonstrates your piety. Crusaders from the West arrive to serve you."
397461 "Eunuch"
397462 "<PURPLE>Eunuch: The Varangians are fearsome warriors, but most importantly, they serve as your imperial bodyguard. It would help your legitimacy to recruit more of them… just don't mind their stench. "
397463 "- Recruit <Variable 3>/20 Varangians."
397464 "<PURPLE>Eunuch: The people respect and fear your bodyguard, making rebellion less likely. Now, we just need some perfume to get rid of this Varangian stench…"
397465 "<PURPLE>Eunuch: A pretender named Nikephoros Diogenes controls the isle of Crete and has made an alliance with a rebel in Cyprus. Taking both islands will strengthen your legitimacy."
397466 "- Conquer Crete and Cyprus."
397467 "<PURPLE>Eunuch: Nikephoros Diogenes thought he'd be an emperor. Now, he'll spend his days a blind exile. The people recognize your victory."
397468 "<PURPLE>Eunuch: Your conquests have brought you fame, but the imperial administration is still lacking. Improving it requires some expense, but the rewards are certainly worth it."
397469 "- Research Imperial Age at the Hagia Sophia."
397470 "<PURPLE>Eunuch: These improvements to the imperial administration will also help the army. You can now train legionaries much quicker."
397471 "Strategos"
397472 "<PURPLE>Strategos: Emperor, your commander in northwestern Anatolia has not reported for some time. I suggest sending an army across the straits to find their camp. "
397473 "- Find the Army Camp in northwestern Anatolia."
397474 "<PURPLE>Strategos: We have secured the camp, but the Turks are all around us. Recruit men to defend this point and we will continue the search for survivors."
397475 "- Find the lost army."
397476 "<PURPLE>Strategos: The heathen Turks! They led our armies here and massacred them! They will pay for this crime!"
397477 "<PURPLE>Strategos: Emperor, the Normans under Robert Guiscard threaten our western flank! We should move quickly to Dyrrachium and defeat their invading armies."
397478 "- Destroy the Norman camp."
397479 "<PURPLE>Strategos: You have saved Dyrrachium and showed the Normans our resolve! The soldiers will not forget this!"
397480 "Patriarch"
397481 "<PURPLE>Patriarch: May the Lord Christ bless you and your reign, Emperor Alexios. I come with a recommendation. If we can find and save holy relics from the heathens, the Christian world will know our piety."
397482 "- Recover <Relics Captured, 1>/3 Relics."
397483 "<PURPLE>Patriarch: The Lord favors your reign, Alexios. Your piety attracts crusaders from the western kingdoms."
397484 "<PURPLE>Strategos: Rebellious Bulgarians have set ambushes in the Balkan passes. Root out their armies to show them Roman might."
397485 "- Destroy the Bulgarians in the Balkans."
397486 "<PURPLE>Eunuch: A Turk named Tzachas claims your throne and has mobilized an army of Turks against you at Smyrna. Kill him before he becomes an even greater threat."
397487 "- Kill the Turkish warlord Tzachas."
397488 "- Kill Tzachas."
397489 "<PURPLE>Eunuch: Tzachas will bother us no more. The would-be rebels who would have supported him now retreat into the shadows."
397490 "Thessaloniki liberated. Tax revenues will increase."
397491 "Mystras liberated. Tax revenues will increase."
397492 "Antioch liberated. Tax revenues will increase."
397493 "Smyrna liberated. Tax revenues will increase."
397494 "Cyprus liberated. Tax revenues will increase."
397495 "Crete liberated. Tax revenues will increase."
397496 "Bari liberated. Tax revenues will increase."
397497 "Edessa liberated. Tax revenues will increase."
397498 "<PURPLE>Eunuch: Legitimacy represents how much the people love you… and how unlikely it is for pretenders to stab you in the back. When legitimacy falls below 50, pretenders will rebel. "
397499 "<PURPLE>Eunuch: Losing soldiers and buildings in battle causes your legitimacy to fall. I will offer objectives to improve your legitimacy. Legitimacy can also be improved at the Amphitheater."
397500 "<PURPLE>Patriarch: Emperor, many pilgrims wish to make the journey to Jerusalem, but the road at Tripoli is blocked by heathens. You must launch a crusade to take Tripoli and clear the road."
397501 "- Defeat the Fatimids."
397502 "<PURPLE>Patriarch: The Lord blesses the faithful. By defeating the Fatimids, the road to Jerusalem has been cleared for pilgrims."
397503 "<PURPLE>Patriarch: For too long, we have been divided from our brothers in the west. Perhaps by sending a delegation to the patriarch in Rome, we can reconcile our faith."
397504 "- Bring <Variable 7>/3 Monks to the Monastery in the west to visit the Pope."
397505 "- Bring <Variable 7>/3 Monks to the Monastery in the west."
397506 "<PURPLE>Patriarch: In honor of our reconciliation, the Pope pledges us crusaders from the Frankish and German lands."
397507 "<PURPLE>Strategos: The men on the Danube frontier say the Pechenegs are on the move. We should send an army to protect our northwestern flank from these heathens."
397508 "<PURPLE>Strategos: The north is endless steppe that vomits up endless hordes of horsemen. We can only hold back their tide by building fortifications along the Danube."
397509 "- Prepare for the Pechenegs."
397510 "<PURPLE>Strategos: The Pechenegs are flooding across the Danube! They will soon reach Constantinople!"
397511 "- Beat back the Pecheneg horde."
397512 "<PURPLE>Strategos: We have pushed the nomads back across the Danube. Many of our Romans are dead, but the surviving solders will tell their grandchildren how they saved Constantinople this day!"
397513 "<PURPLE>Strategos: The River Danube marks the frontiers of the empire. Beyond these barricades are fearsome barbarians who desire nothing but plunder and killing."
397514 "<PURPLE>Eunuch: Some of the nobles have gone to their country estates to conspire against you. You must improve your legitimacy or a pretender will claim your throne."
397515 "<PURPLE>Eunuch: A pretender claiming to be a long-deposed emperor has appeared. Many of the dissatisfied nobles and soldiers back his claims. We have a civil war on our hands."
397516 "<PURPLE>Eunuch: The pretender's armies have been crushed and he has been captured and blinded. You rule through might and fear, but your throne is now secure."
397517 "<PURPLE>Strategos: The emperor has been wounded! Escort him from the field!"
397518 "Each time Alexios is wounded, he will re-appear at the Hagia Sophia. Legitimacy will be reduced."
397519 "<PURPLE>Eunuch: The Hagia Sophia has been taken by our enemies! Your reign has come to an end!"
397520 "<PURPLE>Strategos: The Turks are retreating back across the mountains! We have avenged our defeat at Manzikert!"
397521 "<PURPLE>Strategos: The Norman knights are no match for our disciplined Roman soldiers! We have driven them from Italy!"
397522 "<PURPLE>Eunuch: Emperor Alexios, I must admit that I had my own doubts about you, but you have proven to be a wise and skilled leader. You have crushed our enemies and restored us to greatness!"
397523 "You have begun free play. When finished, delete Alexios Komnenos to retire to private life."
397524 "Free Play: delete Alexios Komnenos to end the scenario."
397525 "Spring <Variable 8>"
397526 "Summer <Variable 8>"
397527 "Autumn <Variable 8>"
397528 "Winter <Variable 8>"
397529 "<PURPLE>Strategos: The Turks do not attack our cities to conquer them outright. Instead, they wish to lure us away from our walls into the open steppe to be butchered."
397530 "<PURPLE>Eunuch: Despite my shrewd management of your legitimacy, it seems some ambitious generals desire your throne for their own selfish ends. A rebellion is in the works. I can feel it."
397533 "<PURPLE>Eunuch: Spending gold on bread and circuses will always improve your legitimacy. But if you happen to publicly favor the winning team in the chariot races, you will become even more beloved."
397534 "Favor the <b>White Team<b> (<cost>)\nHold chariot races to boost your legitimacy. If the White team wins, you receive an additional legitimacy boost. The cost will increase with repeated use."
397535 "Favor the <b>Green Team<b> (<cost>)\nHold chariot races to boost your legitimacy. If the Green team wins, you receive an additional legitimacy boost. The cost will increase with repeated use."
397536 "Favor the <b>Red Team<b> (<cost>)\nHold chariot races to boost your legitimacy. If the Red team wins, you receive an additional legitimacy boost. The cost will increase with repeated use."
397537 "Favor the <b>Blue Team<b> (<cost>)\nHold chariot races to boost your legitimacy. If the Blue team wins, you receive an additional legitimacy boost. The cost will increase with repeated use."
397538 "The crowd roared as the white and red chariots smashed together in a pile of spinning wheels and frantic horses. The green team was victorious and everyone noticed that the empire had wisely backed them."
397539 "The horses of the red chariot were simply better conditioned. They nearly lapped the other teams. Red was victorious and everyone noticed that the emperor had wisely backed them."
397540 "A three-time champion charioteer rode the blue team to victory, skillfully maneuvering the hippodrome's bends. Everyone noticed that the emperor had wisely backed the winner."
397541 "The horses of the blue team caught fright and conveniently darted into red's chariot, leaving white to cruise for the easy victory. The people noticed that the emperor had wisely backed the winner."
397542 "The crowd roared as two chariots smashed together in a pile of spinning wheels and frantic horses. It was such a spectacle that no one noticed that the emperor had backed a losing team."
397543 "The reigning champion charioteer drove his team to victory. Some commented that the emperor was foolish to doubt the champion, but the people were too fat and happy to really care."
397544 "The horses of the winning team were better conditioned and won easily. The people enjoyed the show too much to really notice that the emperor had favored one of the losing teams."
397545 "The horses of one team caught fright and darted into a rival chariot backed by the emperor. Animal natures are unpredictable and no one blamed the emperor for choosing the wrong team."
397546 "The chariot races have been cut short as partisans of a losing team take to the streets in rioting. The rioters must be put down to restore control of the city."
397547 "Scandal: You drank a little too much wine and the court is gossiping about what you said in your drunken state. Your legitimacy is reduced by 5 points."
397548 "Scandal: Soldiers arguing over a dice game brawled in the streets and accidentally struck a senator. Some wonder why the emperor cannot control his soldiers. Your legitimacy is reduced by 5 points. "
397549 "Scandal: A particularly arrogant eunuch has taken to beating his male servants. A passing monk attempted to stop him, but was also struck by the eunuch. The incident has damaged your legitimacy by 5 points. "
397550 "Scandal: A preacher has been spreading heresies in the countryside, reducing your legitimacy by 10 points."
397551 "Scandal: Your brother has gotten a servant girl pregnant. Since he is your kinsman, the scandal has damaged your legitimacy by 10 points."
397552 "Scandal: There have been rumors that your wife is sleeping with a prominent strategos. Though these rumors are certainly false, the scandal has damaged your legitimacy by 10 points."
397553 "<PURPLE>Strategos: The cursed Pechenegs have been wiped from the earth!"
397554 "The white chariot team won!"
397555 "The green chariot team won!"
397556 "The red chariot team won!"
397557 "The blue chariot team won!"
397558 "A chariot team is rioting!"
397559 "Create <b>Varangian<b> (<cost>) Viking unique infantry unit that slowly heals itself. Strong vs. infantry and siege weapons. Weak vs. archers.<i> Upgrades: attack, armor (Blacksmith); speed (Barracks); creation speed (Castle); more resistant to Monks (Monastery).<i>\n<hp> <attack> <armor> <piercearmor> <range>"
397560 "Favor the White Team"
397561 "Favor the Green Team"
397562 "Favor the Red Team"
397563 "Favor the Blue Team"

// Komnenos (1081)

399011 "Alexios Komnenos must have known he was a dead man."
399012 "He had been sent by the emperor to kill the usurper Melissenos. Alexios would not have hesitated to go to battle, but the usurper was married to Alexios' own sister. Rather than kill a member of his family, he chose to disobey the emperor."
399013 "Now, he was summoned to the imperial court. Surely, Alexios was facing his own death."
399014 "But also surely, there were many in Constantinople who would support him. Alexios had heard the whispers in the market and the senate hall. The emperor was a weak and old man who could only watch the empire being consumed by war and rebellion."
399015 "He clung to power only through the fear brought by his Varangian Guard of Norse Vikings. Surely, plots were forming to depose him."
399016 "As he went to the emperor, Alexios knew that it was time for decisive action."
399021 "The Roman Empire had seemingly breathed its last, devastated by Turks and Normans. But amidst this darkness, Rome's brightest son rose and brought a new dawn to the empire."
399022 "After overthrowing the ineffective Nikephoros, Alexios began a series of reforms and conquests that restored the empire to greatness. Over a reign of thirty-seven years, he proved to be among the empire's greatest rulers."
399023 "Without Alexios Komnenos, the empire would not have survived."

//
// Stephen (1135)
//

397601 "Empress Matilda"
397602 "Earl Ranulf of Chester"
397603 "King David of Scotland"
397604 "King Owain ap Gruffudd"
397605 "Normandy"
397606 "High King Turlough"
397607 "English Peasants"
397608 "1. You have a starting population limit of 50 but each Castle you capture increases your limit by 20. You can obtain up to 250 population limit.\n\n2. The Britons civilization has been modified to reflect the Norman period. Longbowmen are trainable at the Archery Range, Norman Knights – a stronger variation of Knights – are trained at the Castle, and you may train Serjeants and construct Donjons.\n\n3. A new claimant will threaten you later in the scenario. It is important to establish a strong enough power base in England to resist this invasion.\n\n4. Trade is impossible and gold mines are rare. Find and secure Relics to generate gold.\n\n5. Subjugating Wales and Ireland is not necessary to win, but will provide access to additional resources, especially gold.\n\n6. Protect the Tower of London. If it is destroyed, you will lose."
397609 "Your scouts report:\n\n- Stephen of Blois has hastily been coronated King of England after the death of King Henry, last son of William the Conqueror. Joined by his brother, the Bishop of Winchester, and his wife, Matilda of Boulogne, Stephen controls London but little else.\n\n- King Henry's daughter, the Empress Matilda (Yellow), claims the right to rule England. She has found many supporters in the south of the kingdom where she has raised armies of Knights, Spearmen, and skilled Longbowmen.\n\n- The powerful Earl of Chester, Ranulf (Orange), has seized much of the north. A marcher lord charged with defending England's borders, he commands powerful armies of Knights, Serjeants, and men-at-arms.\n\n- King David of Scotland (Blue) has sworn to support the Empress Matilda's claims and has complemented her control of the south by launching an invasion from the north. His armies are made up primarily of infantry, light cavalry, and siege.\n\n- The Welsh have taken advantage of the anarchy in England to launch an uprising, led by their King Owain ap Gruffudd (Cyan). Though defeating the Welsh is not necessary, they will launch incessant raids with infantry and skirmishers.\n\n- The Irish High King (Green) has little concern over English matters and Stephen cannot dedicate resources to crossing the Irish Sea. If an English vassal were to invade the island, however, Ireland could prove helpful to the power struggle.\n\n- Finally, Normandy (Gray) lies across the Channel and is not a threat to Stephen's control of England as yet. However, if a dangerous new claimant were to arise, this threat would come from Normandy."
397610 "King Stephen"
397611 "Queen Matilda"
397612 "Henry of Winchester"
397613 "High King Turlough"
397614 "Your realm is divided and rife with rebellion."
397615 "The dead King's daughter, Matilda, once-Empress of Germany, has seized the south. Ranulf, Earl of Chester, revolts in the north. A Welsh uprising and a Scottish invasion both threaten the realm."
397616 "You must defeat these and any other claimants to your throne. This will show the world that you are ordained to rule all of England."
397617 "You only control London. Capture enemy Castles by damaging them to half strength. The surrounding hamlets and towns will then surrender to you, increasing your population limit and allowing you to field larger armies."
397618 "The English yeomen are beginning to use the Welsh longbow. Train these Longbowmen at the Archery Range."
397619 "Knights can only be trained at the Castle. Use the Stables to recruit lighter cavalrymen."
397620 "Donjons, or Keeps, are fortifications used for training Serjeants, heavily armored Norman men-at-arms. Serjeants can also construct Donjons."
397621 "The trade routes have been silenced by the anarchy across the realm. You will not be able to construct Markets for trade, and must instead seek out holy relics to garner the Church's support for your reign."
397622 "This land is yours to rule so it would be wise to not inflict unnecessary damage against the hamlets of the realm. Concentrate on besieging the Castles and the countryside will surrender to you."
397623 "You have captured your first Castle from your enemies. The peasants are grateful that you have freed them from unjust rule."
397624 "The Castle can also be used to recruit Norman Knights, powerful and expensive cavalrymen."
397625 "A Norman adventurer swearing fealty to you has landed with a small expedition in Ireland. His impetuous invasion could be beneficial if he is able to establish control over the island and its resources."
397626 "Much of Ireland has been subjugated by your Norman vassal. The Gaels of the island now work towards your ends."
397627 "The Norman adventurer who invaded Ireland in your name has been forced from the island by its independently-minded inhabitants."
397628 "The Welsh uprising is not a priority, but putting it down could help secure the resources of Wales. Destroy the Welsh buildings entirely to end their incessant raids."
397629 "Wales has been subjugated and the Welsh princes will no longer threaten your realm. The resources of the land are now yours to cultivate."
397630 "The Empress Matilda has been driven back to her final Castle. Capture it to end her threat entirely."
397631 "<YELLOW>Empress Matilda: My son will avenge me. I swear it!"
397632 "The Scottish King has withdrawn from England, securing your northern borders."
397633 "You have defeated the treacherous Earl of Chester."
397634 "The son of Empress Matilda has come of age. The impetuosity of youth will no doubt incite him to claim your throne. You should prepare for his coming invasion."
397635 "<GREY>Henry FitzEmpress: Stand aside, Stephen. I claim England by birthright as the grandson of the last legitimate king."
397636 "Henry's armies are almost vanquished. Find and hunt them down to finish off this threat to your rule."
397637 "<GREY>Henry FitzEmpress: This was not to be. Take England. I have my own lands in France to look after."
397638 "Henry FitzEmpress formally surrenders his claims on the English crown. With no claimants remaining, you may call a council at the Tower of London to accept the surrender of any remaining rebels."
397639 "You may now declare Victory at the Tower of London or continue playing to subjugate any remaining enemies with brutal force."
397642 "<YELLOW>Empress Matilda: My father never liked you, Stephen. And neither do the barons. That is why they support me, their rightful queen."
397643 "<YELLOW>Empress Matilda: You are as weak and cowardly as your father was. Did I hear the story right? That he abandoned the Crusaders at Antioch and told the Roman Emperor to turn back?"
397644 "<YELLOW>Empress Matilda: At least he had the courage to not return from the Holy Land. I am sure my aunt shed no tears for him."
397645 "Year: <Year> CE"
397646 "Henry's Army: <Military Population, 6> units"
397647 "+ Capture <Castles Captured>/10 Castles."
397648 "+ Capture <Castles Captured>/10 Castles."
397649 "+ Prepare for a new claimant."
397650 "+ Defeat Henry FitzEmpress."
397651 "- Pacify Wales by defeating King Owain ap Gruffudd."
397652 "- Pacify Wales."
397653 "- Establish a Norman base in Ireland."
397654 "- Defeat the High King Turlough to claim Ireland."
397655 "- Defeat the Irish."
397656 "You have begun free play. When finished, Declare Victory at the Tower of London (special technology) to end the scenario."
397657 "Free Play: Declare Victory at the Tower of London to end the scenario."
397658 "- Damage Castles to capture them."
397659 "Henry FitzEmpress"
397660 "End the Anarchy"
397661 "The Tower of London has been destroyed!"
397662 "+ The Tower of London must not be destroyed."

// Stephen (1135)

399031 "King Henry, the last son of William the Conqueror, has died without an heir."
399032 "While England's barons squabble, the dead King's nephew, Stephen, enters London and is crowned King."
399034 "King Stephen now faces a challenge that no other English king has faced. Arrayed against him are rebellious earls, the powerful daughter of King Henry, Welsh rebels, and a Scottish invasion."
399035 "This time would come to be known as The Anarchy..."
399041 "In truth, King Stephen did not found a dynasty. To bring peace to England, he agreed that Henry FitzEmpress, the son of Matilda daughter of the dead King Henry, would succeed him as King."
399042 "It was a wise act that ended the strife that had afflicted England for a generation."
399043 "The Anarchy was finally over. The Plantagenet dynasty had begun."

//
// Temujin (1185)
//

397701 "Xi Xia"
397702 "Great Jin"
397703 "Merkits"
397704 "Kereyids"
